id,fact
1,The Sun accounts for about 99.86% of the total mass of the Solar System.
2,"A day on Venus is longer than a year on Venus. It takes about 243 Earth days to rotate once on its axis, but only about 225 Earth days to orbit the Sun."
3,Jupiter is so large that it could fit all the other planets inside it. It is more than 11 times the diameter of Earth.
4,"Saturn's rings are made mostly of ice particles, with a smaller amount of rocky debris and dust."
5,"Mars has the largest volcano in the Solar System, Olympus Mons, which is about 13.6 miles (22 kilometers) high."
6,"Neptune has the strongest winds in the Solar System, with speeds reaching up to 1,200 miles per hour (2,000 kilometers per hour)."
7,Pluto was reclassified as a dwarf planet in 2006 by the International Astronomical Union.
8,The Voyager spacecraft have traveled farther than any other human-made objects in space.
9,A year on Mercury is only about 88 Earth days long.
10,The Great Red Spot on Jupiter is a giant storm that has been raging for at least 350 years.
